Coordinates,Province,Address
"49.1667, -123.8667",BC,"Gabriola Sands Provincial Park, BC, Canada"
"48.9167, -123.5500",BC,"Galiano Island Ecological Reserve, BC, Canada"
"49.3167, -123.9500",BC,"Gamble Creek Ecological Reserve, BC, Canada"
"49.6267, -124.0278",BC,"Garden Bay Marine Provincial Park, BC, Canada"
"49.9586, -123.1208",BC,"Garibaldi Provincial Park, BC, Canada"
"49.7833, -124.5000",BC,"Gerald Island Provincial Park, BC, Canada"
"49.4833, -123.5167",BC,"Gibson Marine Provincial Park, BC, Canada"
"49.4000, -115.2500",BC,"Gilnockie Creek Ecological Reserve, BC, Canada"
"49.4167, -115.2500",BC,"Gilnockie Provincial Park, BC, Canada"
"49.0833, -118.3667",BC,"Gilpin Grasslands Provincial Park, BC, Canada"
"54.8000, -129.0000",BC,"Gingietl Creek Ecological Reserve, BC, Canada"
"53.9167, -122.6667",BC,"Giscome Portage Trail Protected Area, BC, Canada"
"54.3167, -129.5000",BC,"Gitnadoiks River Provincial Park, BC, Canada"
"53.5833, -130.6667",BC,"Gitxaala Nii Luutiksm/Kitkatla Conservancy, BC, Canada"
"49.0833, -118.2500",BC,"Gladstone Provincial Park, BC, Canada"
"59.3167, -134.3167",BC,"Gladys Lake Ecological Reserve, BC, Canada"
"52.0833, -127.7500",BC,"Goat Cove Conservancy, BC, Canada"
"50.1167, -117.1000",BC,"Goat Range Provincial Park, BC, Canada"
"50.8000, -127.6167",BC,"Gods Pocket Marine Provincial Park, BC, Canada"
"52.8167, -128.5667",BC,"Goguka Creek Protected Area, BC, Canada"
"49.8833, -126.0500",BC,"Gold Muchalat Provincial Park, BC, Canada"
"49.3667, -122.5667",BC,"Golden Ears Provincial Park, BC, Canada"
"53.9000, -132.4167",BC,"Golden Gate, BC, Canada"
"50.6667, -121.1667",BC,"Goldpan Provincial Park, BC, Canada"
"48.4667, -123.5500",BC,"Goldstream Provincial Park, BC, Canada"
"52.7667, -128.6167",BC,"Goose Bay Conservancy, BC, Canada"
"51.5833, -128.0667",BC,"Goosegrass Creek Ecological Reserve, BC, Canada"
"48.8667, -124.1167",BC,"Gordon Bay Provincial Park, BC, Canada"
"48.5667, -123.5333",BC,"Gowlland Tod Provincial Park, BC, Canada"
"56.2500, -123.5667",BC,"Graham-Laurier Provincial Park, BC, Canada"
"49.5000, -118.8333",BC,"Granby Provincial Park, BC, Canada"
"58.6000, -124.9667",BC,"Grayling River Hot Springs Ecological Reserve, BC, Canada"
"50.1667, -118.8167",BC,"Graystokes Protected Area, BC, Canada"
"56.6333, -132.0833",BC,"Great Glacier Provincial Park, BC, Canada"
"50.8667, -118.4000",BC,"Greenbush Lake Protected Area, BC, Canada"
"52.7833, -128.2667",BC,"Green Inlet Marine Provincial Park, BC, Canada"
"51.5500, -121.2833",BC,"Green Lake Provincial Park, BC, Canada"
"50.6167, -120.4167",BC,"Greenstone Mountain Provincial Park, BC, Canada"
"49.4667, -117.6333",BC,"Grohman Narrows Provincial Park, BC, Canada"
"53.0167, -129.2667",BC,"Gunboat Harbour Conservancy, BC, Canada"
"55.6500, -121.6667",BC,"Gwillim Lake Provincial Park, BC, Canada"
"50.8667, -122.5333",BC,"Gwyneth Lake Provincial Park, BC, Canada"
"50.4833, -125.9500",BC,"Yorke Island Conservancy, BC, Canada"
"54.3167, -130.1333",BC,"Hai Lake-Mount Herman Provincial Park, BC, Canada"
"50.4000, -123.1167",BC,"Haley Lake Ecological Reserve, BC, Canada"
"49.4500, -123.3833",BC,"Halkett Bay Marine Provincial Park, BC, Canada"
"52.5167, -117.6833",BC,"Hamber Provincial Park, BC, Canada"
"59.4167, -127.7000",BC,"Hanna-Tintina Conservancy, BC, Canada"
"57.7167, -129.9833",BC,"Harbour Dudgeon Lakes Provincial Park, BC, Canada"
"49.7167, -124.0000",BC,"Hardy Island Marine Provincial Park, BC, Canada"
"50.1667, -123.8000",BC,"Harmony Islands Marine Provincial Park, BC, Canada"
"50.1333, -122.4000",BC,"Harry Lake Aspen Provincial Park, BC, Canada"
"58.0000, -123.0000",BC,"Hay River Protected Area, BC, Canada"
"49.0333, -119.4500",BC,"Haynes Lease Ecological Reserve, BC, Canada"
"55.4167, -121.9500",BC,"Heather-Dina Lakes Provincial Park, BC, Canada"
"49.3167, -122.7667",BC,"Heather Lake Ecological Reserve, BC, Canada"
"50.0833, -115.5500",BC,"Height of the Rockies Provincial Park, BC, Canada"
"49.5333, -124.6833",BC,"Helliwell Provincial Park, BC, Canada"
"49.0833, -123.7833",BC,"Hemer Provincial Park, BC, Canada"
"50.7833, -119.2167",BC,"Herald Provincial Park, BC, Canada"
"49.3667, -126.6667",BC,"Hesquiat Lake Provincial Park, BC, Canada"
"49.3667, -126.6000",BC,"Hesquiat Peninsula Provincial Park, BC, Canada"
"54.3833, -126.0833",BC,"High Lakes Basin Provincial Park, BC, Canada"
"56.2667, -121.5000",BC,"Hitchie Creek Provincial Park, BC, Canada"
"52.3833, -127.8167",BC,"Hole-in-the-Wall Provincial Park, BC, Canada"
"53.5667, -126.6167",BC,"Holliday Creek Arch Protected Area, BC, Canada"
"50.8833, -124.8833",BC,"Homathko Estuary Provincial Park, BC, Canada"
"51.6167, -125.4167",BC,"Homathko River-Tatlayoko Protected Area, BC, Canada"
"48.8333, -124.0833",BC,"Honeymoon Bay Ecological Reserve, BC, Canada"
"49.3667, -124.6667",BC,"Horne Lake Caves Provincial Park, BC, Canada"
"54.5833, -127.7667",BC,"Horneline Creek Provincial Park, BC, Canada"
"52.3333, -121.3667",BC,"Horsefly Lake Provincial Park, BC, Canada"
"52.3667, -128.0167",BC,"Hotsprings-No Name Creek Conservancy, BC, Canada"
"53.0000, -127.0000",BC,"Huchsduwachsdu Nuyem Jees/Kitlope Heritage Conservancy, BC, Canada"
"49.0000, -123.9333",BC,"Hudson Rocks Ecological Reserve, BC, Canada"
"51.1500, -127.3000",BC,"Hunwadi/Ahnuhati-Bald Conservancy, BC, Canada"
"60.1167, -128.9333",BC,"Hyland River Provincial Park, BC, Canada"
"50.7667, -121.8667",BC,"100 Lakes Plateau Conservancy, BC, Canada"
"52.6500, -125.5833",BC,"Ilgachuz Range Ecological Reserve, BC, Canada"
"58.4167, -125.6667",BC,"Indian Lake–Hitchcock Creek Conservancy, BC, Canada"
"49.0667, -119.5667",BC,"Inkaneep Provincial Park, BC, Canada"
"49.9333, -124.4833",BC,"Inland Lake Provincial Park, BC, Canada"
"49.9333, -118.2167",BC,"Inonoaklin Provincial Park, BC, Canada"
"56.8167, -130.2667",BC,"Iskut River Hot Springs Provincial Park, BC, Canada"
"52.7500, -125.3333",BC,"Itcha Ilgachuz Provincial Park, BC, Canada"
"52.9167, -119.4000",BC,"Jackman Flats Provincial Park, BC, Canada"
"49.1333, -119.4500",BC,"Jackpine Remnant Provincial Park, BC, Canada"
"52.2167, -128.1500",BC,"Jackson Narrows Marine Provincial Park, BC, Canada"
"50.5000, -115.9833",BC,"James Chabot Provincial Park, BC, Canada"
"49.4833, -124.2167",BC,"Jedediah Island Marine Provincial Park, BC, Canada"
"52.5000, -128.2500",BC,"Jesse Falls Protected Area, BC, Canada"
"49.1000, -118.6500",BC,"Jewel Lake Provincial Park, BC, Canada"
"49.4667, -115.7667",BC,"Jimsmith Lake Provincial Park, BC, Canada"
"50.3333, -122.4833",BC,"Joffre Lakes Provincial Park, BC, Canada"
"49.0167, -119.2167",BC,"Johnstone Creek Provincial Park, BC, Canada"
"48.3667, -124.1167",BC,"Juan de Fuca Provincial Park, BC, Canada"
"51.3833, -127.7000",BC,"Jump Across Conservancy, BC, Canada"
"52.2500, -122.3333",BC,"Junction Sheep Range Provincial Park, BC, Canada"
"50.7500, -121.3333",BC,"Juniper Beach Provincial Park, BC, Canada"
"54.0500, -120.0833",BC,"Kakwa Provincial Park and Protected Area, BC, Canada"
"50.2336, -119.3244",BC,"Kalamalka Lake Provincial Park and Protected Area, BC, Canada"
"54.0333, -131.7833",BC,"Kamdis Conservancy, BC, Canada"
"52.6167, -127.1333",BC,"Katherine Tye Ecological Reserve, BC, Canada"
"53.6167, -129.7500",BC,"Turtle Point Conservancy, BC, Canada"
"50.1833, -119.3000",BC,"Kekuli Bay Provincial Park, BC, Canada"
"53.9000, -130.3000",BC,"Kennedy Island Conservancy, BC, Canada"
"49.0500, -125.6500",BC,"Kennedy Lake Provincial Park, BC, Canada"
"49.1167, -125.4833",BC,"Kennedy River Bog Provincial Park, BC, Canada"
"49.8833, -120.3000",BC,"Kentucky Alleyne Provincial Park, BC, Canada"
"49.1833, -119.8500",BC,"Keremeos Columns Provincial Park, BC, Canada"
"49.0833, -118.7333",BC,"Kettle River Recreation Area, BC, Canada"
"54.6833, -129.8833",BC,"Khtada Lake Conservancy, BC, Canada"
"54.6833, -130.1000",BC,"Khutzeymateen Inlet Conservancy, BC, Canada"
"54.7667, -130.1500",BC,"Khutzeymateen Inlet West Conservancy, BC, Canada"
"54.7000, -130.0667",BC,"Khutzeymateen Provincial Park, BC, Canada"
"54.3000, -130.3833",BC,"Khyex Conservancy, BC, Canada"
"49.6667, -116.1667",BC,"Kianuko Provincial Park, BC, Canada"
"49.5667, -119.6167",BC,"Kickininee Provincial Park, BC, Canada"
"49.3000, -115.1833",BC,"Kikomun Creek Provincial Park, BC, Canada"
"51.7667, -127.6833",BC,"Kilbella Estuary Conservancy, BC, Canada"
"49.2500, -121.9333",BC,"Kilby Provincial Park, BC, Canada"
"52.6167, -127.7500",BC,"Kimsquit Estuary Conservancy, BC, Canada"
"49.7000, -124.9333",BC,"Kin Beach Provincial Park, BC, Canada"
"57.5333, -129.6167",BC,"Kinaskan Lake Provincial Park, BC, Canada"
"51.0333, -125.9000",BC,"King George VI Provincial Park, BC, Canada"
"50.9500, -126.1167",BC,"Kingcome River/Atlatzi Ecological Reserve, BC, Canada"
"50.5333, -119.1667",BC,"Kingfisher Creek Ecological Reserve, BC, Canada"
"50.5667, -119.1167",BC,"Kingfisher Creek Provincial Park, BC, Canada"
"55.7500, -120.6333",BC,"Kiskatinaw Provincial Park, BC, Canada"
"55.7833, -120.5000",BC,"Kiskatinaw River Provincial Park, BC, Canada"
"52.7333, -128.5000",BC,"Kitasoo Spirit Bear Conservancy, BC, Canada"
"53.9833, -128.6333",BC,"Kitimat River Provincial Park, BC, Canada"
"54.0833, -130.3667",BC,"Kitson Island Marine Provincial Park, BC, Canada"
"54.5000, -128.6667",BC,"Kitsumkalum Provincial Park, BC, Canada"
"49.7833, -124.9500",BC,"Kitty Coleman Provincial Park, BC, Canada"
"55.0667, -128.0833",BC,"Kitwanga Mountain Provincial Park, BC, Canada"
"48.7333, -124.6833",BC,"Klanawa River Ecological Reserve, BC, Canada"
"50.2000, -127.3667",BC,"Klaskish River Ecological Reserve, BC, Canada"
"54.5167, -128.4333",BC,"Kleanza Creek Provincial Park, BC, Canada"
"53.9667, -129.5000",BC,"Klewnuggit Conservancy, BC, Canada"
"53.9333, -129.5000",BC,"Klewnuggit Inlet Marine Provincial Park, BC, Canada"
"55.8333, -122.5833",BC,"Klin-se-za Provincial Park, BC, Canada"
"58.8167, -124.6333",BC,"Klua Lakes Protected Area, BC, Canada"
"53.5833, -124.3667",BC,"Kluskoil Lake Provincial Park, BC, Canada"
"52.8833, -129.6833",BC,"Ashdown Conservancy, BC, Canada"
"52.2167, -127.6667",BC,"Koeye Conservancy, BC, Canada"
"49.6167, -117.0167",BC,"Kokanee Creek Provincial Park, BC, Canada"
"49.7500, -117.0000",BC,"Kokanee Glacier Provincial Park, BC, Canada"
"48.7833, -123.7667",BC,"Koksilah River Provincial Park, BC, Canada"
"49.7500, -116.9333",BC,"Kootenay Lake Provincial Park, BC, Canada"
"53.1667, -128.6167",BC,"Kootz/Khutze Conservancy, BC, Canada"
"58.5167, -122.8333",BC,"Kotcho Lake Ecological Reserve, BC, Canada"
"58.5167, -122.8333",BC,"Kotcho Lake Village Provincial Park, BC, Canada"
"54.2500, -130.5167",BC,"Stephens Island Conservancy, BC, Canada"
"54.2833, -129.9000",BC,"Stagoo Conservancy, BC, Canada"
"53.8833, -129.9333",BC,"Racey Inlet Conservancy, BC, Canada"
"53.9833, -129.8667",BC,"MacDonald Bay Conservancy, BC, Canada"
"54.3333, -129.8667",BC,"Union Lake Conservancy, BC, Canada"
"57.5833, -124.5833",BC,"Kwadacha Wilderness Provincial Park, BC, Canada"
"51.5667, -127.9167",BC,"Kwatna Estuary Conservancy, BC, Canada"
"55.7667, -128.0167",BC,"Twin Two Conservancy, BC, Canada"
"50.7833, -120.4000",BC,"Lac du Bois Grasslands Protected Area, BC, Canada"
"51.8167, -121.4333",BC,"Lac La Hache Provincial Park, BC, Canada"
"50.5667, -120.3667",BC,"Lac Le Jeune Provincial Park, BC, Canada"
"54.2167, -132.0167",BC,"Lady Douglas-Don Peninsula Conservancy, BC, Canada"
"54.3667, -128.6167",BC,"Lakelse Lake Provincial Park, BC, Canada"
"54.3000, -128.5000",BC,"Lakelse Lake Wetlands Provincial Park, BC, Canada"
"50.9000, -128.3667",BC,"Lanz and Cox Islands Provincial Park, BC, Canada"
"52.9500, -129.2500",BC,"Larcom Lagoon Conservancy, BC, Canada"
"49.4667, -124.2833",BC,"Lasqueti Island Ecological Reserve, BC, Canada"
"48.6500, -123.4833",BC,"John Dean Provincial Park, BC, Canada"
"56.9167, -130.0500",BC,"Lava Forks Provincial Park, BC, Canada"
"51.5500, -128.1667",BC,"Lawn Point Provincial Park, BC, Canada"
"53.6167, -129.8167",BC,"Campania Conservancy, BC, Canada"
"54.5000, -129.6000",BC,"Bonilla Conservancy, BC, Canada"
"54.4167, -130.4167",BC,"Dundas and Melville Islands Conservancy, BC, Canada"
"53.9500, -130.5500",BC,"Fin Conservancy, BC, Canada"
"53.5167, -132.6667",BC,"Lepas Bay Ecological Reserve, BC, Canada"
"51.6833, -125.3000",BC,"Lew Creek Ecological Reserve, BC, Canada"
"59.4333, -126.1000",BC,"Liard River Corridor Provincial Park and Protected Area, BC, Canada"
"59.4211, -126.1033",BC,"Liard River Hot Springs Provincial Park, BC, Canada"
"50.2667, -124.8667",BC,"Lily Pad Lake Ecological Reserve, BC, Canada"
"56.6500, -132.3833",BC,"Little Andrews Bay Marine Provincial Park, BC, Canada"
"49.3500, -124.5167",BC,"Little Qualicum Falls Provincial Park, BC, Canada"
"49.0833, -121.9333",BC,"Liumchen Ecological Reserve, BC, Canada"
"49.5167, -116.8667",BC,"Lockhart Beach Provincial Park, BC, Canada"
"49.5333, -116.8833",BC,"Lockhart Creek Provincial Park, BC, Canada"
"51.0167, -125.9667",BC,"Lockhart-Gordon Conservancy, BC, Canada"
"54.5167, -128.4667",BC,"Long Creek Provincial Park, BC, Canada"
"53.6167, -128.6167",BC,"Long Island Conservancy, BC, Canada"
"49.5667, -122.4167",BC,"Loon Lake Provincial Park, BC, Canada"
"50.0833, -125.3167",BC,"Loveland Bay Provincial Park, BC, Canada"
"53.9500, -129.8833",BC,"Lowe Inlet Marine Provincial Park, BC, Canada"
"50.4167, -126.0500",BC,"Lower Nimpkish Provincial Park, BC, Canada"
"53.3667, -120.3833",BC,"Lower Raush Protected Area, BC, Canada"
"54.1667, -129.9167",BC,"Lower Skeena River Provincial Park, BC, Canada"
"50.3833, -126.9333",BC,"Lower Tsitika River Provincial Park, BC, Canada"
"54.0667, -130.5333",BC,"Lucy Islands Conservancy Area, BC, Canada"
"50.5167, -118.9167",BC,"Mabel Lake Provincial Park, BC, Canada"
"51.0833, -126.6667",BC,"Machmell Conservancy, BC, Canada"
"53.2167, -122.4667",BC,"Mackinnon Esker Ecological Reserve, BC, Canada"
"49.2833, -124.6667",BC,"MacMillan Provincial Park, BC, Canada"
"49.3333, -119.6000",BC,"Mahoney Lake Ecological Reserve, BC, Canada"
"52.4500, -128.3667",BC,"Deserters-Walker Conservancy, BC, Canada"
"50.1833, -125.1333",BC,"Main Lake Provincial Park, BC, Canada"
"50.0333, -124.8833",BC,"Malaspina Provincial Park, BC, Canada"
"50.0167, -124.9833",BC,"Mansons Landing Provincial Park, BC, Canada"
"52.7500, -129.9500",BC,"Manzanita Cove Conservancy, BC, Canada"
"49.5833, -126.6167",BC,"Maquinna Marine Provincial Park and Protected Area, BC, Canada"
"50.6667, -119.0167",BC,"Mara Meadows Ecological Reserve, BC, Canada"
"50.6667, -119.0167",BC,"Mara Meadows Provincial Park, BC, Canada"
"50.6833, -119.0167",BC,"Mara Provincial Park, BC, Canada"
"50.8667, -121.6667",BC,"Marble Canyon Provincial Park, BC, Canada"
"51.1333, -122.3667",BC,"Marble Range Provincial Park, BC, Canada"
"50.5333, -127.5667",BC,"Marble River Provincial Park, BC, Canada"
"51.3333, -116.9667",BC,"Marl Creek Provincial Park, BC, Canada"
"51.3667, -118.9500",BC,"Martha Creek Provincial Park, BC, Canada"
"59.3333, -123.6667",BC,"Maxhamish Lake Provincial Park and Protected Area, BC, Canada"
"53.5000, -130.5000",BC,"Union Passage Conservancy, BC, Canada"
"50.5833, -120.4167",BC,"McConnell Lake Provincial Park, BC, Canada"
"49.9667, -117.0167",BC,"McDonald Creek Provincial Park, BC, Canada"
"50.3167, -120.3500",BC,"McQueen Creek Ecological Reserve, BC, Canada"
"49.6333, -126.5833",BC,"Megin River Ecological Reserve, BC, Canada"
"50.1667, -122.0000",BC,"Mehatl Creek Provincial Park, BC, Canada"
"48.6333, -123.6333",BC,"Memory Island Provincial Park, BC, Canada"
"53.6667, -123.8667",BC,"Meridian Road (Vanderhoof) Ecological Reserve, BC, Canada"
"56.1167, -129.2833",BC,"Meziadin Lake Provincial Park, BC, Canada"
"55.5833, -125.3167",BC,"Milligan Hills Provincial Park, BC, Canada"
"49.8333, -125.1167",BC,"Miracle Beach Provincial Park, BC, Canada"
"50.6333, -125.2833",BC,"Misty Lake Ecological Reserve, BC, Canada"
"49.9500, -125.0000",BC,"Mitlenatch Island Nature Provincial Park, BC, Canada"
"55.7500, -122.4667",BC,"Moberly Lake Provincial Park, BC, Canada"
"52.5167, -128.5167",BC,"Chapple–Cornwall Conservancy, BC, Canada"
"51.6333, -126.3333",BC,"Momich Lakes Provincial Park, BC, Canada"
"50.9333, -118.5333",BC,"Monashee Provincial Park, BC, Canada"
"50.2000, -120.6833",BC,"Monck Provincial Park, BC, Canada"
"54.7000, -121.2833",BC,"Monkman Provincial Park, BC, Canada"
"48.8667, -123.3167",BC,"Montague Harbour Marine Provincial Park, BC, Canada"
"50.6667, -119.9167",BC,"Monte Creek Provincial Park, BC, Canada"
"50.5500, -119.9167",BC,"Monte Lake Provincial Park, BC, Canada"
"52.4500, -128.7000",BC,"Moore/McKenney/Whitmore Islands Ecological Reserve, BC, Canada"
"52.6167, -122.5000",BC,"Moose Valley Provincial Park, BC, Canada"
"49.1333, -123.8667",BC,"Morden Colliery Historic Provincial Park, BC, Canada"
"54.1500, -127.5000",BC,"Morice Lake Provincial Park, BC, Canada"
"54.0167, -127.7167",BC,"Morice River Ecological Reserve, BC, Canada"
"49.3833, -114.9167",BC,"Morrissey Provincial Park, BC, Canada"
"50.2000, -125.3333",BC,"Morton Lake Provincial Park, BC, Canada"
"50.8833, -115.6333",BC,"Mount Assiniboine Provincial Park, BC, Canada"
"56.6667, -126.5333",BC,"Mount Blanchet Provincial Park, BC, Canada"
"50.3000, -122.6667",BC,"Mount Derby Ecological Reserve, BC, Canada"
"57.7500, -130.6333",BC,"Mount Edziza Provincial Park, BC, Canada"
"50.9000, -127.2667",BC,"Mount Elliott Ecological Reserve, BC, Canada"
"49.4333, -123.5333",BC,"Mount Elphinstone Provincial Park, BC, Canada"
"48.8667, -123.5167",BC,"Mount Erskine Provincial Park, BC, Canada"
"49.5000, -115.0667",BC,"Mount Fernie Provincial Park, BC, Canada"
"49.5500, -124.9667",BC,"Mount Geoffrey Escarpment Provincial Park, BC, Canada"
"50.6667, -118.8167",BC,"Mount Griffin Ecological Reserve, BC, Canada"
"50.6667, -118.8000",BC,"Mount Griffin Provincial Park, BC, Canada"
"48.8167, -123.5167",BC,"Mount Maxwell Ecological Reserve, BC, Canada"
"48.8167, -123.5167",BC,"Mount Maxwell Provincial Park, BC, Canada"
"56.2167, -132.3000",BC,"Mount Minto, BC, Canada"
"54.4667, -124.4167",BC,"Mount Pope Provincial Park, BC, Canada"
"49.4833, -123.6667",BC,"Mount Richardson Provincial Park, BC, Canada"
"53.1000, -119.2333",BC,"Mount Robson Provincial Park, BC, Canada"
"50.8500, -120.2500",BC,"Mount Sabine Ecological Reserve, BC, Canada"
"50.5833, -120.6667",BC,"Mount Savona Provincial Park, BC, Canada"
"49.3667, -122.9500",BC,"Mount Seymour Provincial Park, BC, Canada"
"52.9667, -119.2000",BC,"Mount Terry Fox Provincial Park, BC, Canada"
"50.8833, -121.4000",BC,"Mount Tinsdale Ecological Reserve, BC, Canada"
"48.8167, -123.5167",BC,"Mount Tuam Ecological Reserve, BC, Canada"
"48.7833, -123.6333",BC,"Mount Tzuhalem Ecological Reserve, BC, Canada"
"49.4500, -115.7500",BC,"Moyie Lake Provincial Park, BC, Canada"
"53.9500, -122.7333",BC,"Mud Lake Delta Provincial Park, BC, Canada"
"56.2000, -126.3333",BC,"Mudzenchoot Provincial Park, BC, Canada"
"58.9278, -125.7675",BC,"Muncho Lake Provincial Park, BC, Canada"
"50.0667, -127.5000",BC,"Brooks Peninsula Provincial Park, BC, Canada"
"49.6167, -123.1833",BC,"Murrin Provincial Park, BC, Canada"
"57.0000, -125.0000",BC,"Muscovite Lakes Provincial Park, BC, Canada"
"49.8167, -119.3833",BC,"Myra-Bellevue Provincial Park, BC, Canada"
"53.6667, -126.7000",BC,"Nadina Mountain Provincial Park, BC, Canada"
"49.9833, -121.6000",BC,"Nahatlatch Provincial Park and Protected Area, BC, Canada"
"53.8000, -131.8333",BC,"Naikoon Provincial Park, BC, Canada"
"50.3167, -122.8000",BC,"Nairn Falls Provincial Park, BC, Canada"
"56.2833, -125.1000",BC,"Nalbeelah Creek Wetlands Provincial Park, BC, Canada"
"51.8833, -127.9333",BC,"Namu Conservancy, BC, Canada"
"51.9500, -127.9333",BC,"Namu Corridor Conservancy, BC, Canada"
"49.2167, -117.7167",BC,"Nancy Greene Provincial Park, BC, Canada"
"53.8667, -133.5000",BC,"Nang Xaldangaas Conservancy, BC, Canada"
"53.1500, -122.7500",BC,"Narcosli Lake Ecological Reserve, BC, Canada"
"55.6833, -125.2167",BC,"Nation Lakes Provincial Park, BC, Canada"
"52.6167, -123.5333",BC,"Nazko Lake Provincial Park, BC, Canada"
"53.6667, -125.1000",BC,"Nechako Canyon Protected Area, BC, Canada"
"54.1167, -124.3667",BC,"Nechako River Ecological Reserve, BC, Canada"
"51.0000, -127.6667",BC,"Nekite Estuary Conservancy, BC, Canada"
"54.0667, -127.7500",BC,"Nanika-Kidprice Provincial Park, BC, Canada"
"55.3000, -126.7167",BC,"Netalzul Meadows Provincial Park, BC, Canada"
"49.4167, -119.7500",BC,"Nickel Plate Provincial Park, BC, Canada"
"49.2833, -121.4667",BC,"Nicolum River Provincial Park, BC, Canada"
"55.1667, -127.9833",BC,"Nilkitkwa Lake Provincial Park, BC, Canada"
"50.4167, -126.9667",BC,"Nimpkish River Ecological Reserve, BC, Canada"
"50.5833, -126.9833",BC,"Nimpkish Lake Provincial Park, BC, Canada"
"56.3667, -130.0167",BC,"Ningunsaw River Ecological Reserve, BC, Canada"
"56.3333, -130.0000",BC,"Ningunsaw Provincial Park, BC, Canada"
"50.7833, -119.6333",BC,"Niskonlith Lake Provincial Park, BC, Canada"
"48.7000, -124.6167",BC,"Nitinat Lake Ecological Reserve, BC, Canada"
"48.7000, -124.6167",BC,"Nitinat River Provincial Park, BC, Canada"
"50.3667, -122.9333",BC,"Cerise Creek Conservancy, BC, Canada"
"53.0500, -128.0500",BC,"Nooseseck Conservancy, BC, Canada"
"49.5000, -115.5000",BC,"Norbury Lake Provincial Park, BC, Canada"
"48.5167, -124.3833",BC,"North Spit Conservancy, BC, Canada"
"52.3667, -119.6167",BC,"North Thompson Islands Provincial Park, BC, Canada"
"52.1167, -119.7167",BC,"North Thompson Oxbows East Provincial Park, BC, Canada"
"52.1333, -119.7500",BC,"North Thompson Oxbows Jensen Island Provincial Park, BC, Canada"
"52.0833, -119.8000",BC,"North Thompson Oxbows Manteau Provincial Park, BC, Canada"
"52.0333, -119.9000",BC,"North Thompson River Provincial Park, BC, Canada"
"57.7500, -124.8500",BC,"Northern Rocky Mountains Provincial Park, BC, Canada"
"49.7667, -126.9667",BC,"Nuchatlitz Provincial Park, BC, Canada"
"51.9167, -124.7000",BC,"Nuntsi Provincial Park, BC, Canada"
"48.4333, -123.3000",BC,"Oak Bay Islands Ecological Reserve, BC, Canada"
"50.2167, -125.1167",BC,"Octopus Islands Marine Provincial Park, BC, Canada"
"49.7333, -119.6333",BC,"Okanagan Lake Provincial Park, BC, Canada"
"49.7500, -119.4500",BC,"Okanagan Mountain Provincial Park, BC, Canada"
"50.0667, -124.7667",BC,"Okeover Arm Provincial Park, BC, Canada"
"49.2167, -119.5667",BC,"Old Man Lake Provincial Park, BC, Canada"
"52.1500, -128.3000",BC,"Oliver Cove Marine Provincial Park, BC, Canada"
"56.1167, -125.6167",BC,"Omineca Provincial Park and Protected Area, BC, Canada"
"55.7667, -120.0167",BC,"One Island Lake Provincial Park, BC, Canada"
"57.1667, -127.5000",BC,"Oregana Creek Provincial Park, BC, Canada"
"50.6667, -121.3667",BC,"Oregon Jack Provincial Park, BC, Canada"
"56.0167, -124.1667",BC,"Ospika Cones Ecological Reserve, BC, Canada"
"49.4333, -120.1833",BC,"Otter Lake Provincial Park, BC, Canada"
"52.6667, -128.9167",BC,"Outer Central Coast Islands Conservancy, BC, Canada"
"51.5333, -127.8333",BC,"Owikeno Conservancy, BC, Canada"
"52.0000, -127.3333",BC,"Owyacumish River Provincial Park, BC, Canada"
"50.9000, -127.7667",BC,"Pa-aat Conservancy, BC, Canada"
"54.5167, -125.8333",BC,"Paarens Beach Provincial Park, BC, Canada"
"50.9333, -121.5167",BC,"Painted Bluffs Provincial Park, BC, Canada"
"50.5500, -127.9167",BC,"Estero Basin Conservancy, BC, Canada"
"55.0833, -127.9333",BC,"Parker Lake Ecological Reserve, BC, Canada"
"57.2167, -123.9667",BC,"Patsuk Creek Ecological Reserve, BC, Canada"
"49.5167, -118.4500",BC,"Patterson Lake Provincial Park, BC, Canada"
"50.7500, -120.1167",BC,"Paul Lake Provincial Park, BC, Canada"
"49.0000, -122.7500",BC,"Peace Arch Provincial Park, BC, Canada"
"56.1500, -121.1000",BC,"Peace River Corridor Provincial Park, BC, Canada"
"49.9667, -120.0500",BC,"Pennask Creek Provincial Park, BC, Canada"
"49.9667, -120.0833",BC,"Pennask Lake Provincial Park, BC, Canada"
"52.2333, -128.3667",BC,"Penrose Island Marine Provincial Park, BC, Canada"
"52.3500, -128.4833",BC,"Penrose-Ripon Conservancy, BC, Canada"
"49.1500, -123.9500",BC,"Petroglyph Provincial Park, BC, Canada"
"52.2167, -128.4000",BC,"Pillar Provincial Park, BC, Canada"
"49.7167, -116.8667",BC,"Pilot Bay Provincial Park, BC, Canada"
"55.3333, -121.5667",BC,"Pine Le Moray Provincial Park, BC, Canada"
"49.4667, -122.6333",BC,"Pinecone Burke Provincial Park, BC, Canada"
"57.0167, -122.6167",BC,"Pink Mountain Provincial Park, BC, Canada"
"55.7167, -121.5333",BC,"Pine River Breaks Provincial Park, BC, Canada"
"52.9667, -122.5000",BC,"Pinnacles Provincial Park, BC, Canada"
"49.0167, -123.7167",BC,"Pirates Cove Marine Provincial Park, BC, Canada"
"57.0000, -127.1667",BC,"Pitman River Protected Area, BC, Canada"
"49.3667, -122.6833",BC,"Pitt Polder Ecological Reserve, BC, Canada"
